A,517593
person,34521
on,235489
a,923487
horse,7113
jumps,6636
over,16964
broken,740
down,39013
airplane,1206
is,373757
training,732
his,72455
for,42233
competition,2592
at,98127
diner,249
ordering,260
an,55678
omelette,2
outdoors,9085
Children,4121
smiling,8517
and,206433
waving,1371
camera,11336
They,3701
are,199191
their,27799
parents,929
There,26768
children,22073
present,850
The,164519
kids,8799
frowning,308
boy,56609
jumping,13409
skateboard,4706
in,406367
the,370390
middle,4462
of,192374
red,43119
bridge,3176
skates,533
sidewalk,12835
does,3056
skateboarding,1947
trick,3313
wearing,81083
safety,1901
equipment,2411
An,24648
older,9328
man,255119
sits,14064
with,169290
orange,12826
juice,399
small,16223
table,13418
coffee,2170
shop,3241
while,55937
employees,276
bright,3572
colored,3289
shirts,4520
smile,1600
background,12725
drinks,2081
as,24621
he,8620
waits,1716
daughter,1656
to,114005
get,4071
off,11464
work,7499
flips,345
burger,119
elderly,4695
Two,90522
blond,6275
women,31444
hugging,1101
one,26208
another,16319
Some,7599
vacation,692
sleeping,9150
showing,2163
affection,73
few,2136
people,95980
restaurant,5582
setting,2323
them,8486
drinking,4766
eating,11104
omelettes,2
sitting,53678
desks,245
school,3427
diners,81
wine,922
waiting,8687
meal,1545
arrive,211
blond-hair,1442
brown,17995
shirt,56546
out,19144
public,2395
water,29484
fountain,2596
getting,7758
drink,2790
from,22828
park,12886
reading,6976
book,4454
bench,9323
who,7634
just,3692
had,1059
lunch,2180
saying,340
goodbye,79
friends,5023
scowl,7
each,9245
other,21398
full,3253
dinner,2631
two,31696
woman,132241
this,2705
picture,12166
have,5258
met,82
first,1715
time,2754
20,122
years,589
great,562
catching,1069
up,26687
holding,34037
food,10109
carryout,3
containers,216
hug,388
sisters,526
saw,520
across,5924
crowded,2665
shared,37
both,3126
clutching,115
doggie,9
bags,2260
groups,325
rival,90
gang,131
members,1120
flipped,85
Little,1527
League,20
team,5920
tries,1712
catch,3470
runner,900
sliding,1148
into,18381
base,1168
afternoon,300
game,12064
trying,7070
score,473
games,1069
winning,753
tag,643
playing,59528
baseball,8136
Saturn,8
having,7558
special,185
event,3743
order,641
show,2602
american,603
culture,79
how,1826
cultures,7
dealt,5
parties,20
hosts,17
basketball,5854
high,3736
hosting,28
High,80
fashion,244
ladies,2653
wait,1632
outside,38636
tram,62
beside,3753
crowd,15435
city,10458
do,1672
not,4717
care,337
what,2824
clothes,4798
they,6415
wear,1198
Women,2634
by,31722
enjoy,1308
good,1153
sense,25
child,31599
enjoying,4640
themselves,889
beach,17559
mom,882
dad,501
summer,1093
family,4995
three,7710
mall,1209
shopping,4614
People,25221
train,6115
or,5040
couple,10946
little,21321
young,56604
frisbee,1229
watch,5975
girl,57490
play,11879
herself,854
tide,82
son,2272
cross,1923
street,37856
front,34931
pizza,884
gyro,28
standing,46360
still,691
curb,817
Near,58
restaurants,66
walk,9131
walking,38803
together,11456
green,23071
jacket,14652
hood,541
her,45627
head,7776
looking,26330
towards,4054
valley,244
nake,2
cold,1434
Woman,4424
white,56515
foreground,1558
slightly,337
behind,13070
sign,6484
John's,24
Pizza,88
Gyro,17
caucasian,289
protesting,640
capital,18
advertising,401
black,54260
working,13344
Olympic,322
swimming,7984
soman,1
friend,2129
has,20226
arms,3727
adults,3142
female,7082
shades,290
male,6771
gray,9044
away,4250
eatery,72
blurred,224
image,740
dark,6230
shirted,131
related,231
run,3413
chasing,2356
home,5673
after,4991
tasty,53
steak,243
